Jam,LINE A_Good,LINE A_Bad,LINE B_Good,LINE B_Bad,LINE C_Good,LINE C_Bad,LINE D_Good,LINE D_Bad
0,149,1,168,0,159,1,160,1
1,190,2,148,0,139,3,102,5
2,158,3,162,4,193,5,180,2
3,157,5,197,3,156,4,197,2
4,104,1,118,4,188,2,152,5
5,170,4,142,2,162,1,159,2
6,149,0,116,4,197,1,121,3
7,151,3,149,4,198,2,179,2
8,157,1,173,3,191,0,111,4
9,151,2,142,4,104,3,153,4
10,154,3,164,2,144,3,189,2
11,102,3,166,2,155,1,183,3
12,114,0,190,5,153,1,195,5
13,182,2,163,1,154,4,200,5
14,146,2,138,3,143,4,189,4
15,179,1,164,3,192,0,108,4
16,125,2,105,3,115,0,142,2
17,157,0,179,5,169,0,185,0
18,160,3,119,4,153,0,105,4
19,171,1,151,4,166,3,140,4
20,127,5,117,5,148,4,163,4
21,131,3,152,2,178,5,155,0
22,138,0,123,3,126,4,187,2
23,101,4,193,1,180,0,178,5
